UID,Target
137985,medium
27210,medium
79023,medium
71120,medium
134449,low
47616,low
88113,low
142728,medium
153488,high
39266,high
467,medium
11689,medium
129044,high
137070,high
156668,high
157395,low
62076,high
32935,high
85862,medium
39562,high
147001,medium
131481,high
108653,high
79632,medium
26118,high
37852,high
109018,high
10368,medium
46733,medium
10706,medium
115813,medium
10329,low
148258,low
112480,medium
154161,high
135844,low
139086,medium
41651,low
70230,high
42844,medium
153734,high
121682,medium
87141,medium
16047,high
46985,high
35714,medium
122999,medium
68247,medium
79879,medium
5871,medium
125334,high
64878,high
68685,medium
133218,medium
157841,medium
10689,medium
144408,high
10345,medium
150144,low
143609,medium
8479,medium
33236,high
26312,medium
20009,medium
131600,low
57403,medium
52427,medium
8613,medium
112715,high
47502,medium
112702,medium
67623,medium
45480,low
97266,high
16522,medium
27255,high
91411,medium
27169,low
128074,high
96591,high
39886,medium
48649,high
55738,medium
21399,medium
78471,high
112777,low
120809,medium
107517,high
16557,medium
20652,medium
88650,medium
111849,medium
35464,high
97129,low
37796,medium
34488,medium
116070,low
6514,medium
38099,low
149318,low
101520,high
135479,medium
151431,high
137279,medium
50603,medium
148301,high
133300,medium
121789,medium
95562,medium
23009,medium
97756,low
119809,high
117121,medium
16210,low
11683,medium
28691,medium
82854,medium
5500,medium
3254,medium
86073,high
141734,medium
79179,medium
45002,low
93898,medium
25846,medium
113829,medium
9601,medium
118352,medium
109778,medium
2725,high
125507,medium
125702,medium
120517,medium
85150,medium
108743,high
102523,medium
63709,medium
68124,medium
77159,medium
54509,medium
36567,low
22531,medium
96333,low
149496,medium
99342,medium
105396,medium
47684,medium
101567,high
30437,medium
150295,medium
29406,medium
44098,medium
9521,low
141927,medium
63718,medium
53686,medium
51891,medium
157840,medium
113827,low
127404,medium
68732,high
142275,medium
23127,medium
159174,medium
38922,medium
102605,high
27590,high
114778,medium
95243,medium
42826,medium
77146,medium
137630,medium
68822,low
42537,medium
109565,medium
15882,medium
114060,medium
156925,high
153286,medium
75117,medium
54099,medium
54511,high
61392,medium
65655,medium
7648,low
87596,medium
59608,low
3099,medium
53846,medium
130857,high
82821,high
58290,medium
31854,low
49006,medium
28487,medium
10343,medium
17136,low
51621,medium
146328,medium
15290,medium
83932,medium
149644,medium
128043,low
43097,medium
89460,high
29167,medium
92094,high
105719,medium
83756,low
71444,high
150286,medium
78436,medium
91033,medium
64228,low
12729,medium
9467,low
95696,high
59105,medium
100627,medium
119430,medium
120241,low
85480,medium
123925,medium
19430,low
157339,medium
35456,medium
20683,high
101072,low
96628,low
145054,medium
123083,high
390,medium
110774,medium
1415,medium
29853,medium
109973,medium
133696,low
67581,high
71808,medium
56192,medium
20166,high
12831,medium
94740,high
15843,medium
22010,medium
114193,medium
156022,low
139721,high
89548,high
66079,low
11084,medium
34248,low
81557,medium
54118,medium
128988,medium
12309,medium
91797,medium
133662,medium
44946,medium
41984,medium
92116,medium
33585,medium
114978,medium
100864,medium
119965,medium
153839,medium
3278,medium
49185,medium
28032,medium
117653,medium
158436,medium
150311,medium
31506,medium
103715,high
10840,low
84330,high
160056,medium
34452,low
79354,medium
57228,high
87505,medium
7895,high
138095,high
99886,medium
41079,medium
119881,medium
59240,low
27436,medium
63730,medium
60791,low
42378,medium
17619,medium
983,high
33282,low
108540,medium
1129,medium
55852,medium
147622,medium
93108,medium
153402,medium
97483,high
13002,low
65013,medium
108454,medium
46829,medium
154153,low
65731,high
106838,medium
488,medium
118956,medium
136307,high
127086,medium
31126,low
73388,medium
35125,low
151879,high
108596,medium
77941,medium
85132,medium
914,medium
32148,medium
83151,medium
55034,medium
149967,high
49285,medium
26966,medium
62099,medium
84624,high
76017,medium
26806,high
89584,high
58158,medium
44214,medium
23912,medium
87316,medium
124079,medium
115353,high
129526,medium
119026,medium
130812,medium
124922,high
120898,medium
44702,high
26092,medium
102588,high
57904,high
21675,medium
119400,low
96505,high
111191,medium
53613,high
82865,low
141429,medium
1441,medium
49924,medium
20239,medium
63740,medium
73271,medium
78463,low
11357,low
62912,medium
10253,low
143739,medium
47711,high
110072,low
159230,high
25140,low
9564,high
74694,medium
138384,high
35845,low
29624,low
117102,medium
51113,high
1840,high
78177,medium
78848,high
117811,low
26552,medium
153428,medium
101244,low
148888,medium
60326,low
89671,medium
156187,medium
11768,medium
99575,high
36064,medium
50244,low
59329,medium
44965,medium
104950,medium
75346,low
24576,medium
73085,low
3280,high
10374,high
32113,medium
81579,low
140702,high
57363,low
139839,medium
46024,medium
78680,low
20340,medium
123874,low
121872,medium
